id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21861736,Quiet 2 Bedrooms in Beacon Hill - Walk to T!,159465324,Tony,,Downtown,42.35750865115952,-71.06202037136576,Entire home/apt,120,2,34,2018-05-08,5.93,1,145
21861781,Parker Hill 306 | 1BR 1BA |  Dana-Farber,71783,Lance,,Mission Hill,42.33120872525383,-71.1080954377401,Entire home/apt,150,2,2,2018-04-02,0.67,24,24
21861961,Parker Hill 506 | 1BR 1BA | Boston Children's,71783,Lance,,Mission Hill,42.332883063391286,-71.10942573958795,Entire home/apt,150,2,4,2018-04-30,1.08,24,20
21862054,Parker Hill 404 | 1BR 1BA | Brigham and Women's,71783,Lance,,Mission Hill,42.33023817621164,-71.1103512431395,Entire home/apt,150,2,10,2018-04-29,3.37,24,48
21862176,Parker Hill 604 | 1BR 1BA | Museum of Fine Arts,71783,Lance,,Mission Hill,42.33023018749749,-71.10858292109098,Entire home/apt,150,2,5,2018-04-28,3.57,24,24
21865615,"Luxury studio apt, center Boston",14745965,Roy,,West End,42.364431431383785,-71.06442181931571,Entire home/apt,120,2,11,2018-04-22,1.85,1,0
21865968,(211-32) Simple Fenway Studio,21184200,Paige,,Fenway,42.34224175738276,-71.09948094695929,Entire home/apt,89,1,12,2018-05-13,2.26,40,60
21866446,Gorgeous back bay apartment,46042120,Shehla,,Fenway,42.34345887427951,-71.08611529803963,Entire home/apt,240,2,0,,,1,0
21877613,Contemporary 3x2 w/ HUGE balcony and view!,18202088,Luxurious Suites,,Mission Hill,42.329234670655026,-71.10416922979094,Entire home/apt,148,1,3,2018-03-18,0.59,17,130
21884763,Amazing apartment in South Boston,2406043,Alexander,,South Boston,42.33958759917655,-71.04962516144839,Entire home/apt,110,5,0,,,1,0
21891473,Private bdr,26754605,Ekaterina,,Allston,42.35872236208577,-71.129152239204,Private room,30,1,1,2018-03-01,0.38,3,0
21896268,Newly Renovated  And Fully Furnished  3 BR condo!,129778130,Michael,,Dorchester,42.29853454976173,-71.07990865728331,Entire home/apt,205,1,7,2018-04-22,2.56,7,329
21897391,Beautiful Back Bay Commonwealth Avenue duplex,392021,Karen,,Back Bay,42.350608476093,-71.08673654295066,Entire home/apt,975,4,0,,,1,175
21899053,33rd Floor - Luxury Downtown Boston Penthouse,159778032,Brian,,West End,42.36406899156214,-71.0636564473678,Entire home/apt,829,3,2,2018-04-04,0.74,1,275
21901616,King Bed PH room - BIG work desk in PRIME BackBay,157228002,Victor,,Back Bay,42.351290076106814,-71.07965344658764,Private room,65,1,20,2018-05-15,3.85,1,18
21901787,Queen bed in high-rise loft in PRIME location,154821329,Marc,,Chinatown,42.351579276905994,-71.06080754177907,Private room,75,1,22,2018-05-04,4.10,1,83
21906430,Luxurious Modern 1BR in Downtown Boston,75498900,Lisa,,Downtown,42.35339119750883,-71.05915348567302,Entire home/apt,279,3,1,2018-04-25,1,1,124
21907057,Bright 1 Bedroom in Fantastic Fenway/Back Bay!,8442201,Nick,,Fenway,42.349573228441436,-71.10291787539718,Entire home/apt,179,2,15,2018-05-13,2.83,3,197
21924323,"*1 Newbury,Downtown,MIT, 2 ppl, great discount",26105979,D&D,,Back Bay,42.34980966529497,-71.08975035040527,Private room,87,1,1,2017-12-08,0.19,9,0
21924428,"*2 Newbury,Downtown,MIT,Fenway,4 ppl, low price",26105979,D&D,,Back Bay,42.35039008714766,-71.08822053762721,Private room,105,1,8,2018-05-16,1.92,9,0
